root@comp3134winter2024:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
22:31:25.063127 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 3493974864:3493974956, ack 3309657429, win 501, options [nop,nop,TS val 3432284524 ecr 244478669], length 92
22:31:25.266623 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 4404:4656, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 252
22:31:25.266661 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 4656:4692, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 36
22:31:25.266707 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 4692:4936, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 244
22:31:25.266745 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 4936:4972, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 36
22:31:25.266890 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 4972:5224, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 252
22:31:25.266934 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 5224:5260, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 36
22:31:25.266991 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 5260:5504, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 244
22:31:25.267031 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 5504:5540, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 36
22:31:25.267078 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 5540:5792, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 252
22:31:25.267116 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 5792:5828, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 36
22:31:25.267161 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 5828:6072, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 244
22:31:25.267199 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 6072:6108, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 36
22:31:25.267245 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 6108:6360, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 252
22:31:25.267284 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 6360:6396, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 36
22:31:25.267328 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 6396:6640, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 244
22:31:25.267374 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 6640:6676, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 36
22:31:25.267428 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 6676:6928, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 252
22:31:25.267466 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 6928:6964, ack 1, win 501, options [nop,nop,TS val 3432284728 ecr 244478795], length 36
22:31:25.267511 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 6964:7208, ack 1, win 501, options [nop,nop,TS val 3432284729 ecr 244478795], length 244
22:31:25.267556 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 7208:7244, ack 1, win 501, options [nop,nop,TS val 3432284729 ecr 244478795], length 36
22:31:25.267592 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 7244:7480, ack 1, win 501, options [nop,nop,TS val 3432284729 ecr 244478795], length 236
22:31:25.280734 IP cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099 > comp3134winter2024.ssh: Flags [.], ack 6108, win 10253, options [nop,nop,TS val 244478896 ecr 3432284728], length 0
22:31:25.280734 IP cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099 > comp3134winter2024.ssh: Flags [.], ack 7480, win 10284, options [nop,nop,TS val 244478896 ecr 3432284729], length 0
22:31:25.280800 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 7480:7516, ack 1, win 501, options [nop,nop,TS val 3432284742 ecr 244478896], length 36
22:31:25.292955 IP cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099 > comp3134winter2024.ssh: Flags [.], ack 7516, win 10305, options [nop,nop,TS val 244478909 ecr 3432284742], length 0
22:31:25.369734 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 7516:7768, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 252
22:31:25.369835 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 7768:7804, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 36
22:31:25.369866 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 7804:8048, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 244
22:31:25.369904 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 8048:8084, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 36
22:31:25.369952 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 8084:8336, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 252
22:31:25.369989 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 8336:8372, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 36
22:31:25.370034 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 8372:8616, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 244
22:31:25.370070 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 8616:8652, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 36
22:31:25.370167 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 8652:8904, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 252
22:31:25.370207 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 8904:8940, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 36
22:31:25.370257 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 8940:9184, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 244
22:31:25.370295 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 9184:9220, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 36
22:31:25.370340 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 9220:9472, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 252
22:31:25.370376 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 9472:9508, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 36
22:31:25.370421 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 9508:9752, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 244
22:31:25.370458 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 9752:9788, ack 1, win 501, options [nop,nop,TS val 3432284831 ecr 244478909], length 36
22:31:25.370503 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 9788:10040, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 252
22:31:25.370539 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 10040:10076, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 36
22:31:25.370584 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 10076:10320, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 244
22:31:25.370621 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 10320:10356, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 36
22:31:25.370665 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 10356:10608, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 252
22:31:25.370702 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 10608:10644, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 36
22:31:25.370743 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 10644:10888, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 244
22:31:25.370789 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 10888:10924, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 36
22:31:25.370824 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 10924:11176, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 252
22:31:25.370862 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 11176:11212, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 36
22:31:25.370906 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 11212:11456, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 244
22:31:25.370943 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 11456:11492, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 36
22:31:25.370989 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 11492:11744, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 252
22:31:25.371026 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 11744:11780, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 36
22:31:25.371091 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 11780:12024, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 244
22:31:25.371131 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 12024:12060, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 36
22:31:25.371186 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 12060:12312, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 252
22:31:25.371232 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 12312:12348, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 36
22:31:25.371269 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 12348:12592, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 244
22:31:25.371314 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 12592:12628, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 36
22:31:25.371348 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 12628:12880, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 252
22:31:25.371386 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 12880:12916, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 36
22:31:25.371427 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 12916:13160, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 244
22:31:25.371471 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 13160:13196, ack 1, win 501, options [nop,nop,TS val 3432284832 ecr 244478909], length 36
22:31:25.371506 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 13196:13448, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 252
22:31:25.371544 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 13448:13484, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 36
22:31:25.371597 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 13484:13728, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 244
22:31:25.371642 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 13728:13764, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 36
22:31:25.371679 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 13764:14016, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 252
22:31:25.371716 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 14016:14052, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 36
22:31:25.371758 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 14052:14296, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 244
22:31:25.371801 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 14296:14332, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 36
22:31:25.371837 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 14332:14584, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 252
22:31:25.371874 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 14584:14620, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 36
