root@comp3134winter2024:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
22:29:39.654905 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 3493910828:3493910912, ack 3309656529, win 501, options [nop,nop,TS val 3432179116 ecr 244373261], length 84
22:29:39.754387 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 1404:1600, ack 1, win 501, options [nop,nop,TS val 3432179215 ecr 244373285], length 196
22:29:39.754422 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 1600:1636, ack 1, win 501, options [nop,nop,TS val 3432179215 ecr 244373285], length 36
22:29:39.754481 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 1636:1832, ack 1, win 501, options [nop,nop,TS val 3432179216 ecr 244373285], length 196
22:29:39.754569 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 1832:1868, ack 1, win 501, options [nop,nop,TS val 3432179216 ecr 244373285], length 36
22:29:39.754619 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 1868:2056, ack 1, win 501, options [nop,nop,TS val 3432179216 ecr 244373285], length 188
22:29:39.754654 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 2056:2092, ack 1, win 501, options [nop,nop,TS val 3432179216 ecr 244373285], length 36
22:29:39.770680 IP 99.230.43.173.64099 > 165.22.228.255.22: Flags [.], ack 2092, win 10280, options [nop,nop,TS val 244373384 ecr 3432179216], length 0
22:29:39.857737 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 2092:2288, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 196
22:29:39.857825 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 2288:2324, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 36
22:29:39.857846 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 2324:2520, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 196
22:29:39.857885 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 2520:2556, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 36
22:29:39.857929 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 2556:2752, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 196
22:29:39.857964 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 2752:2788, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 36
22:29:39.858008 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 2788:2992, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 204
22:29:39.858062 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 2992:3028, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 36
22:29:39.858150 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 3028:3232, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 204
22:29:39.858187 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 3232:3268, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 36
22:29:39.858233 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 3268:3472, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 204
22:29:39.858272 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 3472:3508, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 36
22:29:39.858316 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 3508:3712, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 204
22:29:39.858352 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 3712:3748, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 36
22:29:39.858403 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 3748:3952, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 204
22:29:39.858438 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 3952:3988, ack 1, win 501, options [nop,nop,TS val 3432179319 ecr 244373384], length 36
22:29:39.858487 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 3988:4192, ack 1, win 501, options [nop,nop,TS val 3432179320 ecr 244373384], length 204
22:29:39.858522 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 4192:4228, ack 1, win 501, options [nop,nop,TS val 3432179320 ecr 244373384], length 36
22:29:39.858565 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 4228:4432, ack 1, win 501, options [nop,nop,TS val 3432179320 ecr 244373384], length 204
22:29:39.858600 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 4432:4468, ack 1, win 501, options [nop,nop,TS val 3432179320 ecr 244373384], length 36
22:29:39.858644 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 4468:4672, ack 1, win 501, options [nop,nop,TS val 3432179320 ecr 244373384], length 204
22:29:39.858706 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 4672:4708, ack 1, win 501, options [nop,nop,TS val 3432179320 ecr 244373384], length 36
22:29:39.858718 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 4708:4912, ack 1, win 501, options [nop,nop,TS val 3432179320 ecr 244373384], length 204
22:29:39.858750 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 4912:4948, ack 1, win 501, options [nop,nop,TS val 3432179320 ecr 244373384], length 36
22:29:39.858790 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 4948:5152, ack 1, win 501, options [nop,nop,TS val 3432179320 ecr 244373384], length 204
22:29:39.859126 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 5152:5188, ack 1, win 501, options [nop,nop,TS val 3432179320 ecr 244373384], length 36
22:29:39.859209 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 5188:5376, ack 1, win 501, options [nop,nop,TS val 3432179320 ecr 244373384], length 188
22:29:39.859254 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 5376:5412, ack 1, win 501, options [nop,nop,TS val 3432179320 ecr 244373384], length 36
22:29:39.872924 IP 99.230.43.173.64099 > 165.22.228.255.22: Flags [.], ack 5152, win 10258, options [nop,nop,TS val 244373487 ecr 3432179320], length 0
22:29:39.878649 IP 99.230.43.173.64099 > 165.22.228.255.22: Flags [.], ack 5412, win 10302, options [nop,nop,TS val 244373487 ecr 3432179320], length 0
22:29:39.878650 IP 99.230.43.173.64099 > 165.22.228.255.22: Flags [P.], seq 1:37, ack 5412, win 10306, options [nop,nop,TS val 244373489 ecr 3432179320], length 36
22:29:39.923051 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [.], ack 37, win 501, options [nop,nop,TS val 3432179384 ecr 244373489], length 0
22:29:39.961763 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 5412:5616, ack 37, win 501, options [nop,nop,TS val 3432179423 ecr 244373489], length 204
22:29:39.961872 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 5616:5652, ack 37, win 501, options [nop,nop,TS val 3432179423 ecr 244373489], length 36
22:29:39.961949 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 5652:5856, ack 37, win 501, options [nop,nop,TS val 3432179423 ecr 244373489], length 204
22:29:39.962018 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 5856:5892, ack 37, win 501, options [nop,nop,TS val 3432179423 ecr 244373489], length 36
22:29:39.962114 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 5892:6096, ack 37, win 501, options [nop,nop,TS val 3432179423 ecr 244373489], length 204
22:29:39.962164 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 6096:6132, ack 37, win 501, options [nop,nop,TS val 3432179423 ecr 244373489], length 36
22:29:39.962225 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 6132:6336, ack 37, win 501, options [nop,nop,TS val 3432179423 ecr 244373489], length 204
22:29:39.962269 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 6336:6372, ack 37, win 501, options [nop,nop,TS val 3432179423 ecr 244373489], length 36
22:29:39.962342 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 6372:6576, ack 37, win 501, options [nop,nop,TS val 3432179423 ecr 244373489], length 204
22:29:39.962390 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 6576:6612, ack 37, win 501, options [nop,nop,TS val 3432179423 ecr 244373489], length 36
22:29:39.962452 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 6612:6816, ack 37, win 501, options [nop,nop,TS val 3432179423 ecr 244373489], length 204
22:29:39.962492 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 6816:6852, ack 37, win 501, options [nop,nop,TS val 3432179424 ecr 244373489], length 36
22:29:39.962558 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 6852:7056, ack 37, win 501, options [nop,nop,TS val 3432179424 ecr 244373489], length 204
22:29:39.962604 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 7056:7092, ack 37, win 501, options [nop,nop,TS val 3432179424 ecr 244373489], length 36
22:29:39.962672 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 7092:7296, ack 37, win 501, options [nop,nop,TS val 3432179424 ecr 244373489], length 204
22:29:39.962715 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 7296:7332, ack 37, win 501, options [nop,nop,TS val 3432179424 ecr 244373489], length 36
22:29:39.962782 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 7332:7536, ack 37, win 501, options [nop,nop,TS val 3432179424 ecr 244373489], length 204
22:29:39.962843 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 7536:7572, ack 37, win 501, options [nop,nop,TS val 3432179424 ecr 244373489], length 36
22:29:39.962908 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 7572:7776, ack 37, win 501, options [nop,nop,TS val 3432179424 ecr 244373489], length 204
22:29:39.962950 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 7776:7812, ack 37, win 501, options [nop,nop,TS val 3432179424 ecr 244373489], length 36
22:29:39.963012 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 7812:8016, ack 37, win 501, options [nop,nop,TS val 3432179424 ecr 244373489], length 204
22:29:39.963059 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 8016:8052, ack 37, win 501, options [nop,nop,TS val 3432179424 ecr 244373489], length 36
22:29:39.963133 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 8052:8256, ack 37, win 501, options [nop,nop,TS val 3432179424 ecr 244373489], length 204
22:29:39.963360 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 8256:8292, ack 37, win 501, options [nop,nop,TS val 3432179424 ecr 244373489], length 36
22:29:39.963453 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 8292:8496, ack 37, win 501, options [nop,nop,TS val 3432179424 ecr 244373489], length 204
22:29:39.963505 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 8496:8532, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 36
22:29:39.963576 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 8532:8736, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 204
22:29:39.963620 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 8736:8772, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 36
22:29:39.963680 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 8772:8976, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 204
22:29:39.963722 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 8976:9012, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 36
22:29:39.963782 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 9012:9216, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 204
22:29:39.963828 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 9216:9252, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 36
22:29:39.963897 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 9252:9456, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 204
22:29:39.963944 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 9456:9492, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 36
22:29:39.964011 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 9492:9696, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 204
22:29:39.964055 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 9696:9732, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 36
22:29:39.964124 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 9732:9936, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 204
22:29:39.964171 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 9936:9972, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 36
22:29:39.964240 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 9972:10176, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 204
22:29:39.964290 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 10176:10212, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 36
22:29:39.964362 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 10212:10416, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 204
22:29:39.964412 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 10416:10452, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 36
22:29:39.964474 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 10452:10656, ack 37, win 501, options [nop,nop,TS val 3432179425 ecr 244373489], length 204
22:29:39.964514 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 10656:10692, ack 37, win 501, options [nop,nop,TS val 3432179426 ecr 244373489], length 36
22:29:39.964581 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 10692:10896, ack 37, win 501, options [nop,nop,TS val 3432179426 ecr 244373489], length 204
22:29:39.964626 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 10896:10932, ack 37, win 501, options [nop,nop,TS val 3432179426 ecr 244373489], length 36
22:29:39.964694 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 10932:11136, ack 37, win 501, options [nop,nop,TS val 3432179426 ecr 244373489], length 204
22:29:39.964740 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 11136:11172, ack 37, win 501, options [nop,nop,TS val 3432179426 ecr 244373489], length 36
22:29:39.964806 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 11172:11376, ack 37, win 501, options [nop,nop,TS val 3432179426 ecr 244373489], length 204
22:29:39.964852 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 11376:11412, ack 37, win 501, options [nop,nop,TS val 3432179426 ecr 244373489], length 36
22:29:39.965016 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 11412:11616, ack 37, win 501, options [nop,nop,TS val 3432179426 ecr 244373489], length 204
22:29:39.965067 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 11616:11652, ack 37, win 501, options [nop,nop,TS val 3432179426 ecr 244373489], length 36
22:29:39.965138 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 11652:11856, ack 37, win 501, options [nop,nop,TS val 3432179426 ecr 244373489], length 204
22:29:39.965187 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 11856:11892, ack 37, win 501, options [nop,nop,TS val 3432179426 ecr 244373489], length 36
22:29:39.965258 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 11892:12096, ack 37, win 501, options [nop,nop,TS val 3432179426 ecr 244373489], length 204
22:29:39.965306 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 12096:12132, ack 37, win 501, options [nop,nop,TS val 3432179426 ecr 244373489], length 36
22:29:39.965372 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 12132:12320, ack 37, win 501, options [nop,nop,TS val 3432179426 ecr 244373489], length 188
22:29:39.976846 IP 99.230.43.173.64099 > 165.22.228.255.22: Flags [.], ack 8532, win 10257, options [nop,nop,TS val 244373591 ecr 3432179425], length 0
22:29:39.976926 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 12320:13044, ack 37, win 501, options [nop,nop,TS val 3432179438 ecr 244373591], length 724
22:29:39.984883 IP 99.230.43.173.64099 > 165.22.228.255.22: Flags [.], ack 11412, win 10261, options [nop,nop,TS val 244373593 ecr 3432179426], length 0
22:29:39.984884 IP 99.230.43.173.64099 > 165.22.228.255.22: Flags [.], ack 13044, win 10294, options [nop,nop,TS val 244373605 ecr 3432179438], length 0
22:29:40.065718 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 13044:13248, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 204
22:29:40.065796 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 13248:13284, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 36
22:29:40.065845 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 13284:13488, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 204
22:29:40.065880 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 13488:13524, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 36
22:29:40.065924 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 13524:13728, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 204
22:29:40.065960 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 13728:13764, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 36
22:29:40.066004 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 13764:13968, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 204
22:29:40.066040 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 13968:14004, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 36
22:29:40.066124 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 14004:14208, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 204
22:29:40.066166 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 14208:14244, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 36
22:29:40.066213 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 14244:14448, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 204
22:29:40.066248 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 14448:14484, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 36
22:29:40.066292 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 14484:14688, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 204
22:29:40.066327 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 14688:14724, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 36
22:29:40.066370 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 14724:14928, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 204
22:29:40.066407 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 14928:14964, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 36
22:29:40.066460 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 14964:15168, ack 37, win 501, options [nop,nop,TS val 3432179527 ecr 244373605], length 204
22:29:40.066497 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 15168:15204, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 36
22:29:40.066852 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 15204:15408, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 204
22:29:40.066928 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 15408:15444, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 36
22:29:40.066977 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 15444:15648, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 204
22:29:40.067020 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 15648:15684, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 36
22:29:40.067056 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 15684:15888, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 204
22:29:40.067094 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 15888:15924, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 36
22:29:40.067138 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 15924:16128, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 204
22:29:40.067174 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 16128:16164, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 36
22:29:40.067216 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 16164:16368, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 204
22:29:40.067251 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 16368:16404, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 36
22:29:40.067294 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 16404:16608, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 204
22:29:40.067329 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 16608:16644, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 36
22:29:40.067371 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 16644:16848, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 204
22:29:40.067406 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 16848:16884, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 36
22:29:40.067448 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 16884:17088, ack 37, win 501, options [nop,nop,TS val 3432179528 ecr 244373605], length 204
22:29:40.067487 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 17088:17124, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 36
22:29:40.067542 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 17124:17328, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 204
22:29:40.067584 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 17328:17364, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 36
22:29:40.067630 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 17364:17568, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 204
22:29:40.067671 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 17568:17604, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 36
22:29:40.067705 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 17604:17808, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 204
22:29:40.067742 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 17808:17844, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 36
22:29:40.067785 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 17844:18048, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 204
